key,cbs_Key,firstName,lastName,profileUrl,defaultAssetUrl,primaryPosition,compositeRating,compositeStarRating,compositeNationalRank,compositePositionRank,compositeStateRank,homeTown.city,homeTown.state,committedInstitution.institutionKey,committedInstitution.teamKey,committedInstitution.cbsKey,committedInstitution.name,committedInstitution.abbreviation,committedInstitution.fullName,signedInstitution.institutionKey,signedInstitution.teamKey,signedInstitution.cbsKey,signedInstitution.name,signedInstitution.abbreviation,signedInstitution.fullName,currentInstitution.institutionKey,currentInstitution.teamKey,currentInstitution.cbsKey,currentInstitution.name,currentInstitution.abbreviation,currentInstitution.fullName,committedInstitution,signedInstitution,homeTown
46153465,29611530,Devin,Brown,/player/Devin-Brown-46153465,/Uploads/Assets/368/695/13695368.jpeg,SG,86.0,3.0,399.0,84.0,22.0,Lewis Center,OH,24216.0,608.0,21368.0,Davidson,DAV,Davidson Wildcats,24216.0,608.0,21368.0,Davidson,DAV,Davidson Wildcats,24216,608.0,21368.0,Davidson,DAV,Davidson Wildcats,0.0,0.0,0.0
46143745,29190333,Jackson,McVey,/player/Jackson-McVey-46143745,/Uploads/Assets/331/340/13340331.jpg,C,86.0,3.0,399.0,58.0,13.0,Atlanta,GA,24100.0,173.0,21356.0,Georgia,UGA,Georgia Bulldogs,24100.0,173.0,21356.0,Georgia,UGA,Georgia Bulldogs,24100,173.0,21356.0,Georgia,UGA,Georgia Bulldogs,0.0,0.0,0.0
46134969,0,Jacob,Wilkins,/player/Jacob-Wilkins-46134969,/Uploads/Assets/334/340/13340334.jpg,SF,90.0,4.0,144.0,21.0,6.0,Loganville,GA,24100.0,173.0,21356.0,Georgia,UGA,Georgia Bulldogs,24100.0,173.0,21356.0,Georgia,UGA,Georgia Bulldogs,24100,173.0,21356.0,Georgia,UGA,Georgia Bulldogs,0.0,0.0,0.0
46166131,50026719,Alon,Michaeli,/player/Alon-Michaeli-46166131,/Uploads/Assets/18/698/13698018.jpeg,PF,88.0,3.0,241.0,49.0,4.0,Israel,ISRA,24020.0,28.0,21202.0,Colorado,COL,Colorado Buffaloes,24020.0,28.0,21202.0,Colorado,COL,Colorado Buffaloes,24020,28.0,21202.0,Colorado,COL,Colorado Buffaloes,0.0,0.0,0.0
46166225,50026838,Rrezon,Elezaj,/player/Rrezon-Elezaj-46166225,/Uploads/Assets/289/714/13714289.jpg,C,0.0,0.0,0.0,0.0,0.0,Turkey,TURK,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24032,52.0,21161.0,UConn,UCONN,UConn Huskies,0.0,0.0,0.0
46152180,0,Darren,Moore,/player/Darren-Moore-46152180,/Uploads/Assets/850/584/12584850.jpeg,PG,80.0,3.0,508.0,67.0,12.0,Potomac,MD,24036.0,60.0,21243.0,South Florida,USF,South Florida Bulls,24036.0,60.0,21243.0,South Florida,USF,South Florida Bulls,23938,0.0,0.0,Northfield Mount Hermon,0,Northfield Mount Hermon,0.0,0.0,0.0
46131333,28906177,Christian,Jones,/player/Christian-Jones-46131333,/Uploads/Assets/373/434/12434373.jpeg,PG,85.0,3.0,416.0,52.0,22.0,Phoenix,AZ,24386.0,547.0,21262.0,Siena,Siena,Siena Saints,0.0,0.0,0.0,0,0,0,24386,547.0,21262.0,Siena,Siena,Siena Saints,0.0,0.0,0.0
46134209,50027136,Dorian,Jones,/player/Dorian-Jones-46134209,/Uploads/Assets/80/344/13344080.jpg,SG,94.49640367490026,4.0,129.0,21.0,1.0,Cleveland,OH,24035.0,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,0.0,0.0,0.0,0,0,0,24035,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,0.0,0.0,0.0
46144101,29291328,Brandon,Lee,/player/Brandon-Lee-46144101,/Uploads/Assets/292/348/13348292.jpg,SG,87.0,3.0,303.0,58.0,10.0,Hillside,NJ,24039.0,66.0,21190.0,Illinois,ILL,Illinois Fighting Illini,24039.0,66.0,21190.0,Illinois,ILL,Illinois Fighting Illini,24039,66.0,21190.0,Illinois,ILL,Illinois Fighting Illini,0.0,0.0,0.0
46153448,29608332,Brady,Swartz,/player/Brady-Swartz-46153448,/Uploads/Assets/577/702/13702577.jpg,SG,0.0,0.0,0.0,0.0,0.0,Grand Rapids,MI,24077.0,131.0,21276.0,Western Michigan,WMU,Western Michigan Broncos,24077.0,131.0,21276.0,Western Michigan,WMU,Western Michigan Broncos,24077,131.0,21276.0,Western Michigan,WMU,Western Michigan Broncos,0.0,0.0,0.0
