key,targetInstitution,targetInstitutionKey,fullName,positionAbbr,currentInstitution,currentInstitutionKey,currentInstitutionStateAbbreviation,currentInstitutionCity,firstName,lastName,stateAbbreviation,playerImage,starRating,groupRank,positionRank,stateRank,formattedHeight,weight
46058294,CLEM,24008,Nick Davidson,C,NEV,24122,NV,Reno,Nick,Davidson,CA,https://s3media.247sports.com/Uploads/Assets/14/986/12986014.jpeg,4,47,9,2,6-10,238.0
46097664,MIA,24013,Malik Reneau,PF,IND,24040,IN,Bloomington,Malik,Reneau,FL,https://s3media.247sports.com/Uploads/Assets/263/124/12124263.png,4,48,7,1,6-8,210.0
46157201,IOWA,24041,Alvaro Folgueiras,PF,ROMO,24194,PA,Coraopolis,Alvaro,Folgueiras,SPAI,https://s3media.247sports.com/Uploads/Assets/545/1/13001545.jpeg,4,49,8,3,6-9,215.0
46143021,SYR,24037,Naithan George,PG,GTECH,24011,GA,Atlanta,Naithan,George,AZ,https://s3media.247sports.com/Uploads/Assets/569/709/12709569.jpg,4,50,13,3,6-3,185.0
46104191,GU,24210,KJ Lewis,SF,ARIZ,24087,AZ,Tucson,KJ,Lewis,TX,https://s3media.247sports.com/Uploads/Assets/743/772/12772743.jpeg,4,51,8,4,6-4,210.0
46133113,SMU,24055,Jaron Pierre Jr.,SG,JST,24201,AL,Jacksonville,Jaron,Pierre Jr.,LA,https://s3media.247sports.com/Uploads/Assets/180/762/12762180.jpeg,4,52,9,4,6-5,188.0
46097224,KSST,24023,Nate Johnson,SG,AKRN,24065,OH,Akron,Nate,Johnson,OH,https://s3media.247sports.com/Uploads/Assets/312/45/13045312.jpeg,4,53,10,3,6-3,205.0
46117562,KY,24101,Denzel Aberdeen,CG,UF,24099,FL,Gainesville,Denzel,Aberdeen,FL,https://s3media.247sports.com/Uploads/Assets/448/779/12779448.jpeg,4,54,6,4,6-5,190.0
46110087,MISS,24103,AJ Storr,SF,KAN,24022,KS,Lawrence,AJ,Storr,FL,https://s3media.247sports.com/Uploads/Assets/560/720/12720560.jpg,4,55,9,1,6-7,205.0
46117943,BYU,24079,Kennard Davis Jr.,SF,SILL,24186,IL,Eldred,Kennard,Davis Jr.,MO,https://s3media.247sports.com/Uploads/Assets/677/979/12979677.jpeg,4,56,10,2,6-6,215.0
46135664,BAMA,24096,Jalil Bethea,SG,MIA,24013,FL,Coral Gables,Jalil,Bethea,PA,https://s3media.247sports.com/Uploads/Assets/952/676/12676952.jpg,4,57,11,5,6-5,190.0
46097730,St. John's,24309,Dillon Mitchell,PF,CIN,24031,OH,Cincinnati,Dillon,Mitchell,FL,https://s3media.247sports.com/Uploads/Assets/282/720/12720282.jpg,4,58,9,4,6-8,210.0
46057956,UVA,24016,Malik Thomas,SG,sanfran,24350,CA,San Francisco,Malik,Thomas,CA,https://s3media.247sports.com/Uploads/Assets/761/950/12950761.jpeg,4,59,12,5,6-5,205.0
46115715,MICH,24042,Elliot Cadeau,PG,UNC,24014,NC,Chapel Hill,Elliot,Cadeau,MO,https://s3media.247sports.com/Uploads/Assets/588/644/12644588.png,4,60,14,2,6-1,180.0
46101161,MIA,24013,Tre Donaldson,PG,MICH,24042,MI,Ann Arbor,Tre,Donaldson,FL,https://s3media.247sports.com/Uploads/Assets/589/718/12718589.jpg,4,61,15,1,6-3,195.0
46110425,KY,24101,Mouhamed Dioubate,SF,BAMA,24096,AL,Tuscaloosa,Mouhamed,Dioubate,CT,https://s3media.247sports.com/Uploads/Assets/218/28/13028218.jpeg,4,62,11,5,6-7,215.0
46116076,IND,24040,Reed Bailey,PF,DAV,24216,NC,Davidson,Reed,Bailey,MA,https://s3media.247sports.com/Uploads/Assets/980/933/12933980.jpeg,4,63,10,3,6-10,230.0
46094806,OKLA,24026,Tae Davis,SF,ND,24064,IN,South Bend,Tae,Davis,IN,https://s3media.247sports.com/Uploads/Assets/477/1/13001477.jpg,4,64,12,2,6-9,215.0
46109285,TAMU,24029,Mackenzie Mgbako,PF,IND,24040,IN,Bloomington,Mackenzie,Mgbako,NJ,https://s3media.247sports.com/Uploads/Assets/788/3/12003788.png,4,65,11,3,6-8,210.0
46102511,UF,24099,AJ Brown,SG,OHIO,24074,OH,Athens,AJ,Brown,FL,https://s3media.247sports.com/Uploads/Assets/798/31/13031798.jpeg,4,66,13,5,6-4,170.0
46086379,UCONN,24032,Malachi Smith,PG,DAY,24217,OH,Dayton,Malachi,Smith,NY,https://s3media.247sports.com/Uploads/Assets/547/999/12999547.jpeg,4,67,16,6,6-0,155.0
46156203,COL,24020,Barrington Hargress,PG,UC Riverside,24375,CA,Riverside,Barrington,Hargress,CA,https://s3media.247sports.com/Uploads/Assets/999/933/12933999.jpeg,4,68,17,6,6-0,195.0
46153674,KSST,24023,Abdi Bashir Jr.,SG,MONM,24193,NJ,West Long Branch,Abdi,Bashir Jr.,AZ,https://s3media.247sports.com/Uploads/Assets/882/765/12765882.jpeg,4,69,14,2,6-7,160.0
46132740,UGA,24100,Kanon Catchings,SF,BYU,24079,UT,Provo,Kanon,Catchings,GA,https://s3media.247sports.com/Uploads/Assets/255/720/12720255.jpg,4,70,13,1,6-9,185.0
46102044,BAMA,24096,Taylor Bol Bowen,PF,FSU,24010,FL,Tallahassee,Taylor,Bol Bowen,NH,https://s3media.247sports.com/Uploads/Assets/458/999/12999458.jpg,4,71,12,6,6-10,205.0
46148711,WIS,24049,Nick Boyd,PG,SDSU,24082,CA,San Diego,Nick,Boyd,NJ,https://s3media.247sports.com/Uploads/Assets/626/722/12722626.jpg,4,72,18,7,6-3,175.0
46085475,WASH,24094,Quimari Peterson,PG,ETST,24262,TN,Johnson City,Quimari,Peterson,IN,https://s3media.247sports.com/Uploads/Assets/425/940/12940425.jpeg,4,73,19,2,6-1,190.0
46156314,WVU,24038,Treysen Eaglestaff,SG,NDAK,24155,ND,Grand Forks,Treysen,Eaglestaff,ND,https://s3media.247sports.com/Uploads/Assets/445/940/12940445.jpeg,4,74,15,1,6-6,190.0
46117502,USC,24257,Jacob Cofie,PF,UVA,24016,VA,Charlottesville,Jacob,Cofie,WA,https://s3media.247sports.com/Uploads/Assets/355/715/12715355.jpg,4,75,13,2,6-10,232.0
46148646,PROV,24308,Jason Edwards,SG,VAN,24107,TN,Nashville,Jason,Edwards,GA,https://s3media.247sports.com/Uploads/Assets/216/718/12718216.jpg,4,76,16,3,6-1,175.0
46059476,TAMU,24029,Rylan Griffen,SF,KAN,24022,KS,Lawrence,Rylan,Griffen,TX,https://s3media.247sports.com/Uploads/Assets/547/720/12720547.jpg,4,77,14,2,6-6,190.0
46059200,KAN,24022,Tre White,SG,ILL,24039,IL,Champaign,Tre,White,CA,https://s3media.247sports.com/Uploads/Assets/348/718/12718348.jpg,4,78,17,3,6-7,210.0
46156600,LSU,24102,Marquel Sutton,PF,UNO,24519,NE,Omaha,Marquel,Sutton,OK,https://s3media.247sports.com/Uploads/Assets/863/950/12950863.jpeg,4,79,14,2,6-9,225.0
46132713,UGA,24100,Jeremiah Wilkinson,CG,CAL,24089,CA,Berkeley,Jeremiah,Wilkinson,GA,https://s3media.247sports.com/Uploads/Assets/184/709/12709184.jpg,4,80,7,8,6-1,185.0
46103586,MIST,24043,Kaleb Glenn,SF,FAU,24110,FL,Boca Raton,Kaleb,Glenn,IN,https://s3media.247sports.com/Uploads/Assets/206/999/12999206.jpeg,4,81,15,7,6-7,210.0
46118133,KAN,24022,Jayden Dawson,CG,LUC,24338,IL,Chicago,Jayden,Dawson,NE,https://s3media.247sports.com/Uploads/Assets/603/18/13018603.jpeg,4,82,8,4,6-4,195.0
46136605,MIST,24043,Trey Fort,SG,SAM,24230,AL,Birmingham,Trey,Fort,MS,https://s3media.247sports.com/Uploads/Assets/855/32/13032855.jpg,4,83,18,6,6-4,200.0
46148293,Xavier,24316,Malik Moore,SG,MONT,24128,MT,Missoula,Malik,Moore,CA,https://s3media.247sports.com/Uploads/Assets/76/0/13000076.jpeg,4,84,19,1,6-5,185.0
46156970,Xavier,24316,Gabriel Pozzato,SF,Evansville,24344,IN,Evansville,Gabriel,Pozzato,ITAL,https://s3media.247sports.com/Uploads/Assets/992/985/12985992.jpeg,4,85,16,4,6-7,0.0
46116524,MISS,24103,Corey Chest,PF,LSU,24102,LA,Baton Rouge,Corey,Chest,MO,https://s3media.247sports.com/Uploads/Assets/270/18/12018270.png,4,86,15,2,6-8,210.0
46145708,BUT,24214,Jalen Jackson,PG,IPFW,24393,IN,Fort Wayne,Jalen,Jackson,IN,https://s3media.247sports.com/Uploads/Assets/292/940/12940292.jpeg,4,87,20,5,6-2,200.0
46128931,GCU,25241,Jaden Henley,SF,UNLV,24084,NV,Las Vegas,Jaden,Henley,CA,https://s3media.247sports.com/Uploads/Assets/765/722/12722765.jpg,4,88,17,3,6-7,215.0
46118021,OKST,24027,Isaiah Coleman,SG,Seton Hall,24310,NJ,South Orange,Isaiah,Coleman,MD,https://s3media.247sports.com/Uploads/Assets/888/707/12707888.jpg,4,89,20,3,6-5,191.0
46132337,MINN,24044,Bobby Durkin,SF,DAV,24216,NC,Davidson,Bobby,Durkin,FL,https://s3media.247sports.com/Uploads/Assets/179/999/12999179.jpg,4,90,18,4,6-7,220.0
46102889,MARY,24012,Myles Rice,CG,IND,24040,IN,Bloomington,Myles,Rice,GA,https://s3media.247sports.com/Uploads/Assets/425/718/12718425.jpg,4,91,9,6,6-3,185.0
46103592,PROV,24308,Jaylin Sellers,SG,UCF,24060,FL,Orlando,Jaylin,Sellers,AL,https://s3media.247sports.com/Uploads/Assets/117/3/12003117.png,4,92,21,8,6-4,192.0
46103232,MIA,24013,Ernest Udeh Jr.,C,TCU,24083,TX,Fort Worth,Ernest,Udeh Jr.,FL,https://s3media.247sports.com/Uploads/Assets/693/1/12001693.jpeg,4,93,10,5,6-11,260.0
46118206,WAKE,24018,Myles Colvin,SF,PUR,24048,IN,West Lafayette,Myles,Colvin,IN,https://s3media.247sports.com/Uploads/Assets/880/13/12013880.png,4,94,19,7,6-5,200.0
46156995,UVA,24016,Jacari White,SG,NDST,24183,ND,Fargo,Jacari,White,FL,https://s3media.247sports.com/Uploads/Assets/244/987/12987244.jpeg,4,95,22,2,6-3,180.0
46099452,MSST,24104,Jayden Epps,CG,GU,24210,DC,Washington,Jayden,Epps,NC,https://s3media.247sports.com/Uploads/Assets/391/706/12706391.jpg,4,96,10,1,6-2,190.0
46118167,UNC,24014,Kyan Evans,CG,CSU,24080,CO,Fort Collins,Kyan,Evans,MO,https://s3media.247sports.com/Uploads/Assets/409/33/13033409.jpeg,4,97,11,1,6-2,175.0
46156627,LSU,24102,Rashad King,SG,NE,24148,MA,Boston,Rashad,King,GA,https://s3media.247sports.com/Uploads/Assets/373/952/12952373.jpeg,4,98,23,1,6-6,0.0
46157164,CSU,24080,Josh Pascarelli,CG,MAR,24220,NY,Poughkeepsie,Josh,Pascarelli,NY,https://s3media.247sports.com/Uploads/Assets/31/0/13000031.jpeg,4,99,12,1,6-3,195.0
46097928,TEX,24028,Simeon Wilcher,PG,St. John's,24309,NY,Queens Village,Simeon,Wilcher,NJ,https://s3media.247sports.com/Uploads/Assets/989/46/13046989.jpeg,4,100,21,2,6-4,190.0
46079207,MEM,24053,Dug McDaniel,PG,KSST,24023,KS,Manhattan,Dug,McDaniel,VA,https://s3media.247sports.com/Uploads/Assets/661/720/12720661.jpg,4,101,22,3,5-11,175.0
46125547,IND,24040,Nick Dorn,CG,ELON,24227,NC,Elon,Nick,Dorn,NC,https://s3media.247sports.com/Uploads/Assets/654/1/13001654.jpeg,4,102,13,5,6-7,200.0
46156899,WAKE,24018,Cooper Schwieger,PF,VALPO,24223,IN,Valparaiso,Cooper,Schwieger,KS,https://s3media.247sports.com/Uploads/Assets/950/977/12977950.jpeg,4,103,16,8,6-10,230.0
46101946,VTECH,24017,Amani Hansberry,PF,WVU,24038,WV,Morgantown,Amani,Hansberry,MD,https://s3media.247sports.com/Uploads/Assets/921/720/12720921.jpg,4,104,17,2,6-8,240.0
46157170,IND,24040,Tayton Conerway,PG,TROY,24115,AL,Troy,Tayton,Conerway,TX,https://s3media.247sports.com/Uploads/Assets/224/0/13000224.jpeg,4,105,23,7,6-3,186.0
46083137,ARK,24097,Malique Ewin,C,FSU,24010,FL,Tallahassee,Malique,Ewin,GA,https://s3media.247sports.com/Uploads/Assets/539/709/12709539.jpg,4,106,11,9,6-11,230.0
46133024,MISS,24103,James Scott,C,LOU,24033,KY,Louisville,James,Scott,NC,https://s3media.247sports.com/Uploads/Assets/631/709/12709631.jpg,4,107,12,1,6-11,220.0
46098105,GCU,25241,Nana Owusu-Anane,PF,BRWN,24163,RI,North Providence,Nana,Owusu-Anane,VT,https://s3media.247sports.com/Uploads/Assets/775/348/12348775.png,4,108,18,2,6-8,215.0
46115831,WVU,24038,Brenen Lorient,PF,NTEX,24114,TX,Denton,Brenen,Lorient,FL,https://s3media.247sports.com/Uploads/Assets/706/22/13022706.jpeg,4,109,19,6,6-9,215.0
46093992,Gonzaga,24317,Tyon Grant-Foster,SF,GCU,25241,AZ,Phoenix,Tyon,Grant-Foster,KS,https://s3media.247sports.com/Uploads/Assets/580/730/12730580.jpg,4,110,20,5,6-7,220.0
46056913,NCST,24015,Tre Holloman,PG,MIST,24043,MI,East Lansing,Tre,Holloman,MN,https://s3media.247sports.com/Uploads/Assets/448/774/12774448.jpeg,4,111,24,2,6-2,185.0
46132904,IND,24040,Jasai Miles,SG,UNF,24366,FL,Jacksonville,Jasai,Miles,FL,https://s3media.247sports.com/Uploads/Assets/725/3/13003725.jpeg,4,112,24,10,6-6,210.0
46157135,OHST,24046,Christoph Tilly,C,Santa Clara,24351,CA,Santa Clara,Christoph,Tilly,GERM,https://s3media.247sports.com/Uploads/Assets/517/999/12999517.jpeg,4,113,13,9,7-0,240.0
46132699,VTECH,24017,Izaiah Pasha,SF,DEL,24142,DE,Newark,Izaiah,Pasha,PA,https://s3media.247sports.com/Uploads/Assets/975/3/13003975.jpeg,4,114,21,1,6-4,190.0
46133263,Creighton,24343,Austin Swartz,SG,MIA,24013,FL,Coral Gables,Austin,Swartz,NC,https://s3media.247sports.com/Uploads/Assets/961/676/12676961.jpg,4,115,25,11,6-4,200.0
46116289,MARY,24012,Elijah Saunders,PF,UVA,24016,VA,Charlottesville,Elijah,Saunders,AZ,https://s3media.247sports.com/Uploads/Assets/371/715/12715371.jpg,4,116,20,3,6-8,240.0
46157432,TEX,24028,Matas Vokietaitis,C,FAU,24110,FL,Boca Raton,Matas,Vokietaitis,LITH,https://s3media.247sports.com/Uploads/Assets/618/18/13018618.jpeg,4,117,14,12,7-0,245.0
46117958,MIA,24013,Tru Washington,SG,UNM,24081,NM,Albuquerque,Tru,Washington,AZ,https://s3media.247sports.com/Uploads/Assets/950/75/12075950.png,4,118,26,2,6-4,195.0
46098190,St. John's,24309,Oziyah Sellers,SG,STAN,24092,CA,Stanford,Oziyah,Sellers,CA,https://s3media.247sports.com/Uploads/Assets/319/715/12715319.jpg,4,119,27,10,6-5,190.0
46103602,OKST,24027,Vyctorius Miller,SG,LSU,24102,LA,Baton Rouge,Vyctorius,Miller,AZ,https://s3media.247sports.com/Uploads/Assets/800/10/13010800.jpg,4,120,28,3,6-5,185.0
46157079,BAMA,24096,Noah Williamson,C,BUCK,24207,PA,Lewisburg,Noah,Williamson,CT,https://s3media.247sports.com/Uploads/Assets/864/993/12993864.jpeg,4,121,15,4,7-0,250.0
46156983,AUB,24098,Elyjah Freeman,SF,LMU,24780,TN,Harrogate,Elyjah,Freeman,FL,https://s3media.247sports.com/Uploads/Assets/467/986/12986467.png,4,122,22,4,6-8,0.0
46148434,KAN,24022,Melvin Council Jr.,SG,St. Bonaventure,24322,NY,Allegany,Melvin,Council Jr.,NY,https://s3media.247sports.com/Uploads/Assets/459/8/13008459.jpeg,4,123,29,3,6-4,180.0
46148410,Creighton,24343,Blake Harper,SF,HOW,24175,DC,Washington,Blake,Harper,DC,https://s3media.247sports.com/Uploads/Assets/399/940/12940399.jpeg,4,124,23,2,6-8,210.0
46146673,UCF,24060,Jamichael Stillwell,PF,Wis. Milwaukee,24339,WI,Milwaukee,Jamichael,Stillwell,GA,https://s3media.247sports.com/Uploads/Assets/415/971/12971415.jpeg,4,125,21,1,6-8,225.0
46136435,MARY,24012,Isaiah Watts,CG,WSU,24095,WA,Pullman,Isaiah,Watts,WA,https://s3media.247sports.com/Uploads/Assets/466/877/11877466.png,4,126,14,2,6-3,180.0
46096638,IOWA,24041,Brendan Hausen,SG,KSST,24023,KS,Manhattan,Brendan,Hausen,TX,https://s3media.247sports.com/Uploads/Assets/652/720/12720652.jpg,4,127,30,4,6-4,205.0
46127613,ARK,24097,Nick Pringle,C,SCAR,24105,SC,Columbia,Nick,Pringle,SC,https://s3media.247sports.com/Uploads/Assets/939/716/12716939.jpg,4,128,16,1,6-10,220.0
46117860,LSU,24102,Mike Nwoko,C,MSST,24104,MS,Starkville,Mike,Nwoko,CA,https://s3media.247sports.com/Uploads/Assets/725/716/12716725.jpg,4,129,17,2,6-10,245.0
46109909,MARY,24012,Solomon Washington,SF,TAMU,24029,TX,College Station,Solomon,Washington,LA,https://s3media.247sports.com/Uploads/Assets/161/730/12730161.jpg,4,130,24,7,6-7,220.0
46116206,AUB,24098,Kevin Overton,SG,TTECH,24030,TX,Lubbock,Kevin,Overton,OK,https://s3media.247sports.com/Uploads/Assets/807/41/13041807.jpeg,4,131,31,8,6-5,200.0
46103234,NCST,24015,Terrance Arceneaux,SF,HOU,24051,TX,Houston,Terrance,Arceneaux,TX,https://s3media.247sports.com/Uploads/Assets/731/141/12141731.jpeg,4,132,25,9,6-6,205.0
46148363,BUT,24214,Michael Ajayi,SF,Gonzaga,24317,WA,Spokane,Michael,Ajayi,WA,https://s3media.247sports.com/Uploads/Assets/270/702/12702270.jpg,4,133,26,3,6-7,228.0
46131421,IAST,24021,Blake Buchanan,C,UVA,24016,VA,Charlottesville,Blake,Buchanan,ID,https://s3media.247sports.com/Uploads/Assets/490/3/12003490.png,4,134,18,4,6-11,215.0
