year,recruit_key,html_path,skill_rating,skill_athleticism,skill_defender,skill_face_up_high_post_scorer,skill_handle,skill_leadership,skill_low_post_scorer,skill_passing,skill_passing_vision,skill_penetration_ability,skill_physicality_motor,skill_rebounding,skill_shooter,skill_size,skill_versatility,full_name
2010,16786,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/16786.html,False,,,,,,,,,,,,,,,Caleb Walker
2010,16793,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/16793.html,False,,,,,,,,,,,,,,,Dylan Talley
2010,16863,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/16863.html,False,,,,,,,,,,,,,,,Matt Korcheck
2010,16997,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/16997.html,False,,,,,,,,,,,,,,,Perry Jones
2010,17042,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/17042.html,False,,,,,,,,,,,,,,,Gary Franklin
2010,17043,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/17043.html,False,,,,,,,,,,,,,,,Brady Heslip
2010,17045,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/17045.html,False,,,,,,,,,,,,,,,Cory Jefferson
2010,18470,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18470.html,False,,,,,,,,,,,,,,,J.D. Weatherspoon
2010,18474,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18474.html,False,,,,,,,,,,,,,,,Keith Davis
2010,18478,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18478.html,False,,,,,,,,,,,,,,,Daniel Alexander
2010,18482,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18482.html,False,,,,,,,,,,,,,,,Kourtney Roberson
2010,18525,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18525.html,False,,,,,,,,,,,,,,,Kevin Noreen
2010,18527,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18527.html,False,,,,,,,,,,,,,,,Juwan Staten
2010,18615,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18615.html,False,,,,,,,,,,,,,,,Terrell Stoglin
2010,18761,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18761.html,False,,,,,,,,,,,,,,,Cameron Clark
2010,18768,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18768.html,False,,,,,,,,,,,,,,,Mychal Parker
2010,18898,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/18898.html,False,,,,,,,,,,,,,,,Tyler Neal
2010,19128,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/19128.html,False,,,,,,,,,,,,,,,Pe'Shon Howard
2010,19131,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/19131.html,False,,,,,,,,,,,,,,,Ashton Pankey
2010,19134,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/19134.html,False,,,,,,,,,,,,,,,Berend Weijs
2010,19205,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/19205.html,False,,,,,,,,,,,,,,,Cory Stanton
2010,19232,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/19232.html,False,,,,,,,,,,,,,,,Jarell Eddie
2010,20090,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/20090.html,False,,,,,,,,,,,,,,,Alandise Harris
2010,20117,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/20117.html,False,,,,,,,,,,,,,,,D.J. Bennett
2010,20181,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/20181.html,False,,,,,,,,,,,,,,,T.J. McConnell
2010,21327,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/21327.html,False,,,,,,,,,,,,,,,Evan Smotrycz
2010,22373,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/22373.html,False,,,,,,,,,,,,,,,Russ Smith
2010,22374,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/22374.html,False,,,,,,,,,,,,,,,Gorgui Dieng
2010,22420,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/22420.html,False,,,,,,,,,,,,,,,Luke Davis
2010,22742,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/22742.html,False,,,,,,,,,,,,,,,Robert Sampson
2010,25044,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/25044.html,False,,,,,,,,,,,,,,,Ben  Brust
2010,25165,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/25165.html,False,,,,,,,,,,,,,,,Danny Rubin
2010,25274,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/25274.html,False,,,,,,,,,,,,,,,Justin Wesley
2010,25320,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/25320.html,False,,,,,,,,,,,,,,,Jordan Tyrance
2010,25544,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/25544.html,False,,,,,,,,,,,,,,,Josh Gasser
2010,26156,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/26156.html,False,,,,,,,,,,,,,,,Andre Stringer
2010,26391,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/26391.html,False,,,,,,,,,,,,,,,Evan  Anderson
2010,26580,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/26580.html,False,,,,,,,,,,,,,,,Chris Denson
2010,2706,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/2706.html,False,,,,,,,,,,,,,,,Dylan Thompson
2010,27260,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/27260.html,False,,,,,,,,,,,,,,,John Auslander
2010,29556,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/29556.html,False,,,,,,,,,,,,,,,Omar Oraby
2010,29788,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/29788.html,False,,,,,,,,,,,,,,,Jay Canty
2010,30632,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30632.html,False,,,,,,,,,,,,,,,Tyler Thornton
2010,30647,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30647.html,False,,,,,,,,,,,,,,,Josh Hairston
2010,30648,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30648.html,False,,,,,,,,,,,,,,,Andre Dawkins
2010,30802,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30802.html,False,,,,,,,,,,,,,,,Leslee Smith
2010,30803,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30803.html,False,,,,,,,,,,,,,,,Travis Carroll
2010,30804,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30804.html,False,,,,,,,,,,,,,,,Terone Johnson
2010,30805,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/30805.html,False,,,,,,,,,,,,,,,Anthony Johnson
2010,31729,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/31729.html,False,,,,,,,,,,,,,,,Tarik Black
2010,32327,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/32327.html,False,,,,,,,,,,,,,,,Markel Starks
2010,32328,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/32328.html,False,,,,,,,,,,,,,,,Moses Abraham
2010,32329,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/32329.html,False,,,,,,,,,,,,,,,Nate Lubick
