hs_year,player_key,full_name,hs_position,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,scouting_report,scouting_report_evaluator_name,bv_role,has_scouting_report_text,has_scouting_report_evaluator,_embedding_cache_key
2010,19128,Pe'Shon Howard,PG,,-,3.0,83.33333333333333,358.0,70.0,,__missing__,Pure PG,False,False,19128_2010
2010,19131,Ashton Pankey,PF,81,220,3.0,83.33333333333333,358.0,87.0,,__missing__,C,False,False,19131_2010
2010,19205,Cory Stanton,SG,70,175,2.0,76.66666666666667,483.0,110.0,,__missing__,Combo G,False,False,19205_2010
2010,19232,Jarell Eddie,SF,79,218,4.0,95.71603586061417,74.0,15.0,,__missing__,Stretch 4,False,False,19232_2010
2010,20090,Alandise Harris,SF,,-,2.0,76.66666666666667,483.0,85.0,,__missing__,PF/C,False,False,20090_2010
2010,20181,T.J. McConnell,PG,74,188,3.0,83.11111111111113,365.0,72.0,,__missing__,Scoring PG,False,False,20181_2010
2010,21327,Evan Smotrycz,SF,81,235,4.0,95.03226106683415,87.0,19.0,,__missing__,Stretch 4,False,False,21327_2010
2010,22373,Russ Smith,SG,72,165,3.0,85.1111111111111,299.0,69.0,,__missing__,Pure PG,False,False,22373_2010
2010,22374,Gorgui Dieng,C,83,233,4.0,96.86381891201168,48.0,7.0,,__missing__,C,False,False,22374_2010
2010,22420,Luke Davis,PG,72,172,2.0,70.0,829.0,134.0,,__missing__,Pure PG,False,False,22420_2010
2010,22742,Robert Sampson,SF,,-,3.0,82.22222222222223,395.0,76.0,,__missing__,PF/C,False,False,22742_2010
2010,25044,Ben  Brust,PG,74,170,3.0,88.51851851851852,182.0,37.0,,__missing__,Wing G,False,False,25044_2010
2010,25165,Danny Rubin,SG,78,190,,,,,,__missing__,Wing G,False,False,25165_2010
2010,25544,Josh Gasser,PG,76,195,3.0,88.29629629629629,198.0,40.0,,__missing__,Wing G,False,False,25544_2010
2010,26143,Jalen Courtney,PF,79,200,3.0,88.51851851851852,182.0,40.0,,__missing__,Wing F,False,False,26143_2010
2010,26156,Andre Stringer,SG,69,170,4.0,92.23390776036139,114.0,25.0,,__missing__,Combo G,False,False,26156_2010
2010,26580,Chris Denson,PG,74,175,,,,,,__missing__,Combo G,False,False,26580_2010
2010,29556,Omar Oraby,C,86,270,,,,,,__missing__,C,False,False,29556_2010
2010,30647,Josh Hairston,PF,80,195,5.0,97.98561157911604,35.0,6.0,,__missing__,PF/C,False,False,30647_2010
2010,30803,Travis Carroll,PF,81,210,3.0,88.96296296296295,168.0,36.0,,__missing__,C,False,False,30803_2010
2010,30804,Terone Johnson,CG,74,200,4.0,96.2397468662529,68.0,1.0,,__missing__,Combo G,False,False,30804_2010
2010,31729,Tarik Black,PF,81,250,4.0,96.15231304597465,69.0,17.0,,__missing__,C,False,False,31729_2010
2010,32327,Markel Starks,CG,72,157,4.0,95.27803318269531,84.0,3.0,,__missing__,Combo G,False,False,32327_2010
2010,32329,Nate Lubick,PF,80,227,5.0,97.30532820108515,45.0,9.0,,__missing__,Wing F,False,False,32329_2010
2010,32330,Josh Smith,C,82,305,5.0,98.74347876286065,21.0,5.0,,__missing__,C,False,False,32330_2010
2010,32523,Antonio Barton,PG,74,180,3.0,85.62962962962963,267.0,54.0,,__missing__,Combo G,False,False,32523_2010
2010,33295,Tony Snell,SG,79,217,3.0,81.11111111111111,421.0,96.0,,__missing__,Wing G,False,False,33295_2010
