number,value,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
38,1.358598210186141,0.5403323530217898,7,639,3.726091982395866,0.04621186314085724,COMPLETE,252,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
39,1.3554428073754492,0.5851772964453571,4,540,1.841252907421032,0.03997385970756735,COMPLETE,414,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
40,1.3557579413103849,0.735922665216542,5,2059,2.835187980789529,0.05785598405370131,COMPLETE,249,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
41,1.3538699809564818,0.2433851528285782,4,1416,3.476088991115872,0.0767901457685556,COMPLETE,191,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
42,1.3513295254470505,0.6643733624128042,4,1646,2.349027707390006,0.11712727142202702,COMPLETE,202,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
43,1.35176999657611,0.6421346958257061,4,1671,2.38387691708521,0.1479311901516743,COMPLETE,139,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
44,1.3540047617064768,0.6863848855577901,4,1664,2.3190711429972954,0.11859844035008893,COMPLETE,117,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
45,1.3531620142457952,0.660758635135396,4,1952,1.4042894591617883,0.1487929997959338,COMPLETE,96,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
46,1.3591598846942037,0.9860660868195198,6,1850,1.8339288940169607,0.1304788613237693,COMPLETE,93,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
47,1.3564930870749523,0.7767791572499844,5,1710,2.3883356722305495,0.10135192800555207,COMPLETE,112,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
48,1.350719246824245,0.8256178443374325,4,1603,2.1474533743252815,0.1208477527445918,COMPLETE,145,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
49,1.3521656524706287,0.8404711428307998,4,1243,1.9814092838960702,0.12227582977064741,COMPLETE,219,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
