feature,importance
scout_emb_251,0.016438058673183563
scout_emb_30,0.016362303776500442
scout_emb_174,0.01633869136225417
scout_emb_20,0.016275051508623354
scout_emb_68,0.016127621874584577
scout_emb_32,0.016035282919856703
scout_emb_130,0.01590096341397042
scout_emb_316,0.01589399971150708
scout_emb_228,0.015723355931825733
scout_emb_9,0.01571423362115557
scout_emb_52,0.015443090373158688
scout_emb_42,0.015304697969135382
scout_emb_92,0.015242966201067038
scout_emb_269,0.015009155325852652
scout_emb_83,0.014798130719458492
scout_emb_153,0.01471307667999305
scout_emb_254,0.014597138215907246
scout_emb_175,0.014591102550798181
scout_emb_242,0.0145503901616113
scout_emb_1,0.0145296445747133
scout_emb_67,0.014382961762910594
scout_emb_141,0.01436680001574073
scout_emb_124,0.01425708618010721
scout_emb_311,0.014141180808665442
scout_emb_120,0.0140286483757157
scout_emb_250,0.013868560123060392
scout_emb_274,0.013826119133908686
scout_emb_249,0.01373976056215685
scout_emb_144,0.013486665887937508
scout_emb_361,0.013455380816324634
scout_emb_204,0.013022931622874816
scout_emb_255,0.01298237522795978
scout_emb_258,0.012853549935649774
scout_emb_285,0.01284092451708363
scout_emb_366,0.012785502668664597
scout_emb_114,0.012746678957000023
scout_emb_188,0.012692027443787808
scout_emb_134,0.012688601247049803
scout_emb_157,0.012664633204633667
scout_emb_8,0.012643867052614858
scout_emb_283,0.01260285926014223
scout_emb_367,0.012524438280616838
scout_emb_72,0.01251329156420157
scout_emb_70,0.012470078038927562
scout_emb_264,0.01241392448732986
scout_emb_231,0.01228746720072109
scout_emb_202,0.01225003012630082
scout_emb_357,0.012174613725615282
scout_emb_88,0.012151792142710522
scout_emb_368,0.012049746526337158
scout_emb_273,0.011911079567035352
scout_emb_378,0.011782114919921646
scout_emb_327,0.011764859755955082
scout_emb_182,0.011763670064225575
scout_emb_24,0.011752504134109078
scout_emb_243,0.01164837370311978
scout_emb_289,0.011610400895729173
scout_emb_170,0.011556525367548065
scout_emb_333,0.011534203924862856
scout_emb_237,0.01143632290031191
scout_emb_45,0.011323113534516488
scout_emb_48,0.011290078971950621
scout_emb_253,0.011229595155630658
scout_emb_78,0.011193157860552238
scout_emb_350,0.010890819121816567
scout_emb_126,0.010803730987937781
scout_emb_277,0.010606921993676183
scout_emb_320,0.0103994667945982
scout_emb_166,0.010368328775832884
scout_emb_294,0.010260911178084711
scout_emb_112,0.010209677033763296
scout_emb_135,0.010158482800619035
scout_emb_343,0.010138755249301176
scout_emb_107,0.010024019833933799
scout_emb_25,0.009828670891937454
scout_emb_313,0.009645155177018049
scout_emb_146,0.009645114704803467
scout_emb_337,0.009524278337718885
scout_emb_22,0.009484805402582912
scout_emb_359,0.009462724401622642
scout_emb_27,0.009378392646303165
scout_emb_34,0.009370300174727921
scout_emb_205,0.009240799971258972
scout_emb_272,0.009193030166150957
scout_emb_101,0.009103005227623692
scout_emb_360,0.009083233833779621
scout_emb_379,0.009052309784538925
scout_emb_64,0.009015526817319203
scout_emb_176,0.009007899142839119
scout_emb_149,0.0089734425265842
scout_emb_223,0.008957904532388313
scout_emb_207,0.008921271101555647
scout_emb_239,0.008901210757213868
scout_emb_179,0.00887259162809576
scout_emb_57,0.008763844088643735
scout_emb_275,0.008705267425305243
scout_emb_288,0.008656607202296052
scout_emb_347,0.008608345009998132
scout_emb_267,0.008531445948373783
scout_emb_335,0.00833857909410034
scout_emb_84,0.00810657054111627
scout_emb_80,0.008081129878879947
scout_emb_71,0.00803147403492794
scout_emb_98,0.008025628670894566
scout_emb_356,0.008007314789814177
scout_emb_240,0.007964755511417785
scout_emb_97,0.00781505371967055
scout_emb_213,0.007779439433446253
scout_emb_284,0.007777838850143885
scout_emb_105,0.007696638912235818
scout_emb_178,0.007692636551912767
scout_emb_373,0.007651730796342833
scout_emb_36,0.007615757072206567
scout_emb_293,0.0075943881287603605
scout_emb_103,0.007544365238742974
scout_emb_31,0.007396940562118029
scout_emb_165,0.007191792786715848
scout_emb_12,0.007110542456476279
scout_emb_111,0.0070408032656597355
scout_emb_234,0.006993015185474946
scout_emb_382,0.006967590976197615
scout_emb_26,0.0067319719813919475
